track_id,features,in_playlist_ids
4bfOiIITpl4jSJKZFGQZep,"[2.3603816e-02 3.9738599e-02 3.3361915e-02 ... 6.1539551e-11 7.5997535e-11
 3.9025369e-10]",7E589X6ftMNzIE5PQLHiv9
4G38JGB1cl0hwXmixayhFg,"[3.9407081e-05 1.5965615e-03 2.3538661e-03 ... 1.6104283e-11 4.9484692e-09
 4.4569582e-08]",7E589X6ftMNzIE5PQLHiv9
2pZxoGV2ugtbVqcQvazAJw,"[9.0104705e-03 6.8952277e-02 9.2763631e-03 ... 1.3103275e-10 1.2204809e-10
 5.5154697e-10]",7E589X6ftMNzIE5PQLHiv9
33LMMr35QAGh56ZuCVwazz,"[1.1991272e-01 3.6315784e-01 4.2103934e-01 ... 4.5271949e-11 3.0228403e-11
 6.4708891e-11]",7E589X6ftMNzIE5PQLHiv9
4yDFhjGlhRcS5Ay8mBYuk5,"[1.2190278e+00 7.4472934e-01 1.5095941e+00 ... 1.2726369e-10 1.0765981e-10
 6.9825243e-11]",2mcPdKhNEqRdaY1VwKnFFL
06dyS71Qi8996xUckx1hFg,"[2.3269914e-03 1.5464554e-03 5.3171208e-04 ... 1.7911209e-10 4.4543322e-10
 2.8431495e-09]",2mcPdKhNEqRdaY1VwKnFFL
26uKYMxYe2qudb5TWOc5aN,"[8.8125087e-02 5.5758744e-01 1.9123383e+00 ... 9.5345822e-11 1.5116824e-10
 4.8161314e-10]",2mcPdKhNEqRdaY1VwKnFFL
1pyEzP8rCLZeP725lJ0u1B,"[1.4637212e-01 1.4078633e+00 1.8701633e+00 ... 1.2411291e-10 9.1962810e-10
 7.7420497e-09]",2mcPdKhNEqRdaY1VwKnFFL
3iTpEKAecoHmc5LhhqrnL9,"[5.6438522e+00 1.5638498e+01 1.4628837e+01 ... 1.7217772e-10 2.1336433e-08
 1.9234213e-07]",2mcPdKhNEqRdaY1VwKnFFL
2fvAOyTWvefRAPQhIyTtq2,"[3.7479791e-04 2.8496516e-01 1.0173584e-02 ... 9.7658250e-11 3.7512771e-10
 2.9947649e-09]",2mcPdKhNEqRdaY1VwKnFFL
7bNBdRO6T8JwAp1tMwCaqf,"[5.6711953e-02 1.3896351e-01 1.4219593e-02 ... 8.9931181e-11 8.9936092e-10
 7.5935871e-09]",2mcPdKhNEqRdaY1VwKnFFL
5rmVZM8qNtDNu5MFc2BP6S,"[5.6177708e-03 8.2355523e-01 2.9462819e+00 ... 5.0512938e-10 8.2906226e-08
 7.4755752e-07]",2mcPdKhNEqRdaY1VwKnFFL
1WKVyWtdJf1G8iYRjy8b8K,"[1.4894044e+00 9.1944867e-01 1.8067402e+00 ... 2.7395416e-10 8.6824514e-10
 6.6674155e-09]",2mcPdKhNEqRdaY1VwKnFFL
0AyCCnIIcyQeYtUMkDE5fK,"[3.9403361e-01 4.8074272e-01 5.5863822e-01 ... 1.3377936e-10 1.7830974e-10
 1.0255776e-09]",2mcPdKhNEqRdaY1VwKnFFL
12Ypr3PCVJ2i7Uwz93q1Vl,"[2.3953126e-01 1.8813295e+01 1.5258001e+01 ... 2.0493746e-10 5.1934762e-10
 2.0355397e-09]",2mcPdKhNEqRdaY1VwKnFFL
6nJqXnmulkOo9v58cEKLZh,"[2.5460778e-03 5.0517279e-03 2.2302184e-02 ... 1.9258559e-10 1.7710773e-10
 6.4129491e-10]",2mcPdKhNEqRdaY1VwKnFFL
7fxXPUDKDqUibNy5zWEdI3,"[4.33904362e+00 8.21588039e+00 1.12002535e+01 ... 3.91889965e-10
 1.16157639e-09 8.33415470e-09]",2mcPdKhNEqRdaY1VwKnFFL
2DpV9dZvoO79g3Jw2awdck,"[4.4890371e-01 2.0208459e+00 1.3083556e+00 ... 2.3684493e-10 2.2877922e-10
 7.7269974e-10]",2mcPdKhNEqRdaY1VwKnFFL
4HcjdZLmmsU1jhUzxw93dr,"[7.3568054e-02 5.4197856e-03 3.5894804e-02 ... 9.1385628e-11 2.6725557e-09
 2.3757970e-08]",2mcPdKhNEqRdaY1VwKnFFL
0mnE2wW2iqRsjpPn8Mxiix,"[5.6082481e-01 1.8978641e+00 2.9811912e+00 ... 9.7261359e-13 2.5781757e-12
 1.8320262e-11]",2mcPdKhNEqRdaY1VwKnFFL
4FhDoS97l6Tc7ySe6eLtYa,"[8.6892188e-02 1.6252944e+00 8.3951340e+00 ... 6.2558479e-11 6.4510189e-11
 2.1355794e-10]",2mcPdKhNEqRdaY1VwKnFFL
04wUxrOitTUoCAdtbgyFGR,"[1.1993411e-01 2.8641963e-02 8.9284390e-01 ... 5.9091183e-11 4.1899044e-09
 3.7678287e-08]",2mcPdKhNEqRdaY1VwKnFFL
2BtNKxwH22ym0YDPiqVeuM,"[4.6361623e+00 6.0769138e+00 7.7214279e+00 ... 2.6649771e-10 1.2268568e-07
 1.1090674e-06]",2mcPdKhNEqRdaY1VwKnFFL
7nyprGzLfhdp0zJfa0peji,"[4.8392719e-01 1.7569687e+01 3.1982393e+01 ... 1.9614123e-10 2.7571216e-09
 2.4036961e-08]",2mcPdKhNEqRdaY1VwKnFFL
4BVcmSJl06n5jjQsFi83yJ,"[1.1050030e-01 8.1521158e+00 1.6564995e+01 ... 5.4353544e-10 8.0264284e-09
 6.9670627e-08]",2mcPdKhNEqRdaY1VwKnFFL
4rQnF8l5bH51EHYWWjzylc,"[8.33702207e-01 5.92375803e+00 1.05465136e+01 ... 6.63188254e-11
 6.01893049e-11 1.05896465e-10]",2mcPdKhNEqRdaY1VwKnFFL
20MO8DVGrLoYxXdv7aQ2KG,"[3.2792229e-02 4.3037463e-02 1.6564497e-01 ... 3.1164241e-10 1.9947798e-08
 1.7854072e-07]",2mcPdKhNEqRdaY1VwKnFFL
0aUS3cD0yw4fBfCyAPeNji,"[4.6741121e-02 4.0043345e-01 1.3207399e+00 ... 1.1912825e-10 2.0011147e-10
 1.4368777e-09]",2mcPdKhNEqRdaY1VwKnFFL
0Vl5NUxWMlffRZfAEUiH6U,"[9.3272738e-03 3.0209587e-03 1.1937463e-02 ... 5.3011227e-11 2.7664579e-10
 2.2821662e-09]",2mcPdKhNEqRdaY1VwKnFFL
3qL63QvSTHvC4Uw8eEhz4z,"[7.4174267e-01 1.8007824e-01 1.3108769e-01 ... 1.6412072e-10 6.2369265e-09
 5.5709023e-08]",2mcPdKhNEqRdaY1VwKnFFL
0meQGpIV8nIRF1OUN1tTgX,"[3.8983619e-03 3.4254391e-04 1.5723480e-02 ... 2.9481392e-10 1.6012865e-10
 1.0884969e-10]",2mcPdKhNEqRdaY1VwKnFFL
1zglHrrcfMGVZDarWITIwF,"[1.5091984e+00 1.3291973e+00 3.7929150e-01 ... 4.0413412e-10 1.2869222e-07
 1.1621593e-06]",2mcPdKhNEqRdaY1VwKnFFL
7BqFMm2aOqanmtY1191owA,"[1.0351109e-03 1.7767268e+00 3.0337584e-01 ... 2.9066302e-10 2.9920350e-10
 6.2999278e-10]",2mcPdKhNEqRdaY1VwKnFFL
3nntPau2jOD7XYUirviivj,"[8.4214106e+00 1.2743485e+01 2.0530519e+01 ... 1.9558279e-10 6.9604489e-11
 7.6946199e-11]",2mcPdKhNEqRdaY1VwKnFFL
56N8onoNDcWJeSMVYO6poO,"[8.61382559e-02 1.62777528e-01 2.44173586e-01 ... 2.75578727e-11
 1.10043925e-10 8.42169723e-10]",25sAVvJiwtz3u5UVxxM9YK;7HUz93pUMaxhgpCrNb3IqW
0CgtgR2Rz4z9zmbclEhpg8,"[6.1303120e-02 2.3875830e-01 4.5814896e-01 ... 2.8835398e-10 5.5038335e-10
 3.8825072e-09]",25sAVvJiwtz3u5UVxxM9YK;0mhEjAc1GmdoI1EsDdzytD
2u8znkH9MEXJ1sjiQvHcAV,"[4.2653717e-03 4.2409974e-01 1.7394221e+00 ... 6.8241260e-11 1.4014411e-09
 1.1876650e-08]",25sAVvJiwtz3u5UVxxM9YK
7rHv6aeboZ8axyZa0IfObt,"[8.8511314e-03 8.0744978e-03 1.3599157e-02 ... 4.9309989e-10 1.1805999e-08
 1.0449240e-07]",10YFKmyuG2QmYKlXlvbcaa;0mhEjAc1GmdoI1EsDdzytD
40DarBiyfVPEC6OQid9jv6,"[8.6120486e-01 5.7555404e+00 1.4720725e+00 ... 1.9347306e-10 7.6272083e-10
 5.7715179e-09]",10YFKmyuG2QmYKlXlvbcaa
1zucHJN4WKHIzSL4FyiJw9,"[8.5529303e-03 7.0848525e-02 9.0264238e-02 ... 2.3412969e-10 3.0002731e-10
 1.6269084e-09]",10YFKmyuG2QmYKlXlvbcaa
0NVnlAuLfKeOxK0sxvJFKI,"[8.5145155e-05 8.3482340e-03 5.1321559e-02 ... 9.4246999e-11 1.5168972e-10
 9.1234215e-10]",10YFKmyuG2QmYKlXlvbcaa
1DNvYQWmYVnKzXZUYssNhX,"[4.3883253e-02 8.0862537e-02 2.6636744e-01 ... 2.4516070e-10 3.5594847e-10
 1.8596337e-09]",10YFKmyuG2QmYKlXlvbcaa
1QLbtjeGaVIpRgDSjzJVFK,"[5.5936199e-02 3.5198289e-03 1.5819345e-01 ... 2.0911785e-10 4.9965021e-10
 3.2269341e-09]",0mhEjAc1GmdoI1EsDdzytD
3yF3Xjc8Z1yQ6knf1qOHlx,"[2.5758943e-01 5.7013214e-01 5.8586127e-01 ... 4.9832530e-11 5.3603683e-10
 4.5997122e-09]",0mhEjAc1GmdoI1EsDdzytD
3QFAIe2fChIpKbhXRiu7RZ,"[6.2719840e-01 1.3986182e+00 3.0873179e+00 ... 1.6153619e-10 9.7337673e-11
 3.3536049e-11]",0mhEjAc1GmdoI1EsDdzytD
6D9kqdDNVjwwPfPbiCIIh0,"[9.3340939e-03 3.8340124e-01 3.9299259e-01 ... 2.9551217e-10 1.2826049e-10
 2.9132094e-10]",0mhEjAc1GmdoI1EsDdzytD
3Tu2lXJ1iNbeG7XE1CS8mK,"[1.7841735e-01 3.0579300e+00 1.0178973e+01 ... 7.7798330e-11 4.4001078e-09
 3.9001879e-08]",0mhEjAc1GmdoI1EsDdzytD
55lnfSdmOIadWTl6CmE7yQ,"[4.9741549e-04 8.6026458e-04 9.1485679e-04 ... 2.9813149e-10 3.5424827e-10
 1.6899508e-09]",0mhEjAc1GmdoI1EsDdzytD
2gLLRjRdCEWd2cIWeHp4p6,"[2.1754768e+00 6.4311919e+00 8.5234861e+00 ... 2.0252205e-10 1.6973008e-10
 3.8573081e-10]",0mhEjAc1GmdoI1EsDdzytD
2lqaVvI8tqZpVwC5Cuxsbn,"[8.3264831e-06 6.2066577e-02 2.3634668e-01 ... 1.5323810e-10 2.3646867e-09
 2.0824899e-08]",0mhEjAc1GmdoI1EsDdzytD
6hXvjGGS7TN7vl76OH2ZPt,"[2.5580356e-01 1.1084344e+00 3.1275961e+00 ... 3.1175187e-10 3.0979119e-09
 2.5515883e-08]",0mhEjAc1GmdoI1EsDdzytD
3O78PrBRfVUNZAATesWusY,"[5.1216923e-02 4.8059758e-02 8.3867922e-02 ... 1.9674951e-10 7.2792156e-10
 5.4957274e-09]",0mhEjAc1GmdoI1EsDdzytD
0pFaxigqG1YoAanE0ONkfI,"[6.4363708e-03 7.8982812e-01 3.4425707e+00 ... 2.6293176e-10 3.8005435e-10
 1.1785759e-09]",0mhEjAc1GmdoI1EsDdzytD
4wJZ7sDKieHiUClVWnMPHF,"[8.8010711e-04 3.8476984e-03 1.0160548e-02 ... 7.1392149e-11 6.7791127e-11
 2.8166175e-10]",3nsll4mwzPFdWHMEbFjjN5
2NfgAQ5VOeaXyTVGzbB6ai,"[6.9892006e-03 3.9939952e-01 1.1395788e+00 ... 9.9962802e-11 4.9735827e-11
 3.8063004e-11]",3nsll4mwzPFdWHMEbFjjN5
6MyX1j0UPibQ0ctswH6U8q,"[4.5473445e-03 7.6939851e-01 9.8596770e-01 ... 2.6648977e-10 2.8500999e-08
 2.5687382e-07]",0g1J8EfY6rzP9FQSi1dwWL
43DYsSpTXVQq4UyYdkIx6k,"[1.8797818e-01 3.6325344e-01 4.3018869e-01 ... 1.0765403e-10 5.8848406e-09
 5.2714213e-08]",0g1J8EfY6rzP9FQSi1dwWL
2StHGD41bGpdCbzfIU4O48,"[3.9932635e-01 8.4403557e-01 2.4936240e+00 ... 2.7165012e-10 9.1193486e-10
 6.9915913e-09]",0g1J8EfY6rzP9FQSi1dwWL
