track_id,name,artists,album,duration_ms,explicit,popularity,preview_url,in_playlist_ids
7rHv6aeboZ8axyZa0IfObt,Piano Song,Danny L Harle; MC Boing,Harlecore,100973,False,23,https://p.scdn.co/mp3-preview/7fb1c5f7c63aaf93ce7369a6bb84fcd497b2ddf2?cid=2d41cd0ab78d4fc180a3b32d56acd648,10YFKmyuG2QmYKlXlvbcaa;0mhEjAc1GmdoI1EsDdzytD
40DarBiyfVPEC6OQid9jv6,44ever,Logic,44ever,115819,True,64,https://p.scdn.co/mp3-preview/22a5c29f28305a4d8cc3536686fab5f75baab330?cid=2d41cd0ab78d4fc180a3b32d56acd648,10YFKmyuG2QmYKlXlvbcaa
1zucHJN4WKHIzSL4FyiJw9,Innermission,Logic; Lucy Rose,The Incredible True Story,240053,True,49,https://p.scdn.co/mp3-preview/61e222736caa7825e30bda0d6bf0fe13fd7b0aea?cid=2d41cd0ab78d4fc180a3b32d56acd648,10YFKmyuG2QmYKlXlvbcaa
1PXUJSza5XInYn5Yg1zNUT,00.00.00,Dmitry Krylov,Untitled,721000,False,0,https://p.scdn.co/mp3-preview/a13628e65d902671d24cd35bc4c24de481675079?cid=2d41cd0ab78d4fc180a3b32d56acd648,5mJmfo2no15Nc7GQpN4dYY
1QLbtjeGaVIpRgDSjzJVFK,My Surreality,Little Swift; Luca Vasta,The Signal (Soundtrack from the Netflix Series),128942,False,18,https://p.scdn.co/mp3-preview/d92ad7034d287858c4ba6ae661b36550dc6bc13b?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD;2REI2t9RBiuDgwfk0VzeTO
3yF3Xjc8Z1yQ6knf1qOHlx,Conjuring Hell,Smokey Brights,Pacific Drive Radio Soundtrack,240258,False,33,https://p.scdn.co/mp3-preview/8852733aa681a14817b6aa23b0406e04a4611141?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD
3QFAIe2fChIpKbhXRiu7RZ,White Rabbit - Marcel Dettmann and Gabriel Mounsey Remix,Jefferson Airplane; Marcel Dettmann; Gabriel Mounsey,White Rabbit EP,197262,False,31,https://p.scdn.co/mp3-preview/2079bc0617838f0032533d12bf0ed17b0e137543?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD
6D9kqdDNVjwwPfPbiCIIh0,Arnar's Wall,Petur Thor Benediktsson,The Valhalla Murders (Music from the Original TV Series),282000,False,10,https://p.scdn.co/mp3-preview/733edc354a9d4033ee9dffef559af71fab8f1fdb?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD
3Tu2lXJ1iNbeG7XE1CS8mK,"This Word, Love",Felix White,McEnroe OST,207160,False,4,https://p.scdn.co/mp3-preview/5284a04fbc148f70cde469700c68b606f1ca3843?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD
55lnfSdmOIadWTl6CmE7yQ,Time To Sleep,Mark Pinhasov; SCHWARZ,Time To Sleep,152466,False,3,https://p.scdn.co/mp3-preview/56c6e9b597341729987b9dbad03d4696871dfc26?cid=2d41cd0ab78d4fc180a3b32d56acd648,0mhEjAc1GmdoI1EsDdzytD
