track_id,name,artists,album,duration_ms,explicit,popularity,preview_url,in_playlist_ids
7j6PBIabWxiR4DTFqs1Gqq,Pivotal Scape,Seta Loto,Earth-Related System,333182,False,3,https://p.scdn.co/mp3-preview/3d159c761f595ccac3304c75b8f2c58ca5250660?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W;2kjc2CgfaaoLnFPQPXFzEJ
6XoAPoml3wFR2F0FcT8dUy,Bioluminescence - Original mix,Tom Place,Bioluminescence,390857,False,0,https://p.scdn.co/mp3-preview/73a5dd0dda2bb75779a19d2976d4932378063aba?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W
4LEpHZHoMGGcdPOW9kZGo7,Blixt av det yttersta,Evigt Mörker,Ovigd Jord,226544,False,5,https://p.scdn.co/mp3-preview/e3f0ae8eb0cff47b9b7f831b0dcd3b469fc0f27b?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W;2kjc2CgfaaoLnFPQPXFzEJ
70VYrpsK0MD7cheDuIBiuL,Stranded,Sonic,The Eye of Jupiter,357740,False,3,https://p.scdn.co/mp3-preview/dde51d0aaca4e889d9a15f2bfc60a50c25735d62?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W;4BalJKYLBKsUaXE6YX1bbp
0BbIOwJTXDLgHh281bPPXk,"Sí, idealízame",Verraco,Breathe… Godspeed,334000,False,10,https://p.scdn.co/mp3-preview/2c3be86a61846990331248e8bb85526651eb2755?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W
1e48H7RDfHZApcngAs2FNu,Raffica - Faster Horses Remix,WOLTERS; Faster Horses,ONE EP,438466,False,17,https://p.scdn.co/mp3-preview/c7e84da07a92fb928cefbd48db00767dcdc99adb?cid=2d41cd0ab78d4fc180a3b32d56acd648,3M06PalFbreIvlXXFLk93W
1DC2xRu4KJ83TWf2Uv2wkN,PLANÆT,UFO95,PLANÆT,392156,False,7,https://p.scdn.co/mp3-preview/9efc98791154be329f500a0f3f3996655217f72d?cid=2d41cd0ab78d4fc180a3b32d56acd648,2kjc2CgfaaoLnFPQPXFzEJ
1Jls7lu9XvjxCt4PGWxAfX,Funk Contender,6 SENSE,Funk Contender,423833,False,15,https://p.scdn.co/mp3-preview/12c933e80ce176da409c11b1984478e53e812f8f?cid=2d41cd0ab78d4fc180a3b32d56acd648,2kjc2CgfaaoLnFPQPXFzEJ
5i0FX9KL65uFJHm2MnAist,KEEK2.0,UFO95,PLANÆT,341960,False,10,https://p.scdn.co/mp3-preview/26328b5e71752eeb90d72ca4f36e8faf640e8bd9?cid=2d41cd0ab78d4fc180a3b32d56acd648,2kjc2CgfaaoLnFPQPXFzEJ
30EOpp3vePlfiwqXiP0N2h,Cloud Sniff,LUCKER,Cloud Sniff,260851,False,3,https://p.scdn.co/mp3-preview/4381f8bf24164d521682fe93d8a5901915cc81d2?cid=2d41cd0ab78d4fc180a3b32d56acd648,2kjc2CgfaaoLnFPQPXFzEJ
